sdss designation,redshift,angular sep,proper sep,sdss r band
J111452.32+122653.0,0.0685,63.6,85.0,14.75
J111455.01+122742.1,0.07,63.6,85.0,16.27
J111457.68+610913.8,0.0531,77.2,82.4,15.09
J111457.83+611031.0,0.0549,77.2,82.4,15.44
J111519.23+542310.9,0.0713,12.6,17.1,16.76
J111519.98+542316.7,0.0704,12.6,17.1,15.52
J111544.99+404144.8,0.079,22.9,34.5,17.44
J111545.88+404203.4,0.0799,22.9,34.5,16.26
J111603.55+361417.3,0.0785,29.8,44.2,16.02
J111605.47+361410.2,0.0776,29.8,44.2,15.23
J111622.99+532414.8,0.1125,3.1,6.3,17.55
J111623.17+532413.4,0.1123,3.1,6.3,17.24
J111720.71+470820.3,0.0677,3.3,4.3,16.47
J111720.86+470822.7,0.0668,3.3,4.3,15.86
J111723.47+590115.8,0.1017,34.8,65.0,17.56
J111724.14+590042.6,0.1015,34.8,65.0,17.53
J111750.62+263732.9,0.027,114.2,65.2,13.01
J111750.72+263927.1,0.0285,114.2,65.2,14.84
J111809.79+302424.4,0.0256,49.7,26.3,14.22
J111811.58+302342.7,0.0263,49.7,26.3,13.94
J111816.69+281537.6,0.0327,124.9,79.3,13.54
J111817.80+281333.8,0.0318,124.9,79.3,14.06
J111830.28+402554.0,0.1545,6.7,18.1,14.7
J111830.68+402557.0,0.1559,6.7,18.1,17.68
J111942.84+451610.2,0.2031,8.0,26.8,17.34
J111943.35+451612.7,0.2036,8.0,26.8,17.81
J111945.43+542849.6,0.0708,48.4,65.3,17.51
J111946.09+542802.3,0.0692,48.4,65.3,15.37
J111954.26+330524.4,0.0428,2.0,1.7,16.28
J111954.39+330525.0,0.0427,2.0,1.7,14.17
J112048.01+002807.0,0.0242,36.7,18.1,13.95
J112049.00+002733.4,0.0245,36.7,18.1,15.51
J112241.44+003906.4,0.071,34.6,46.9,15.59
J112243.74+003902.7,0.0715,34.6,46.9,16.18
J112302.11+342951.7,0.0208,132.6,55.7,13.62
J112306.71+024852.7,0.0388,70.1,54.0,15.08
J112310.43+024810.2,0.0395,70.1,54.0,14.73
J112310.74+342923.0,0.0212,132.6,55.7,14.86
J112332.00+081657.8,0.0703,73.2,98.2,15.64
J112333.58+081548.6,0.0701,73.2,98.2,17.65
J112354.25+024641.3,0.0625,76.8,92.4,15.6
J112358.84+024607.0,0.0632,76.8,92.4,16.13
J112413.62+121918.1,0.0825,36.5,56.7,16.83
J112413.82+121954.4,0.0828,36.5,56.7,17.14
J112505.79+321621.4,0.0438,97.9,84.4,17.48
J112511.41+321531.8,0.0441,97.9,84.4,14.45
J112545.05+144035.7,0.034,73.6,49.7,14.06
J112549.55+144006.6,0.0339,73.6,49.7,15.15
J112611.61+351753.1,0.0375,120.3,89.6,16.62
J112618.62+351654.5,0.0382,120.3,89.6,16.62
J112633.20-013810.6,0.0459,89.6,80.6,15.63
J112633.65-013939.9,0.0458,89.6,80.6,15.62
J112730.39+205425.8,0.0442,86.2,75.0,15.37
J112731.19+205300.5,0.0446,86.2,75.0,14.7
J112737.56+080503.5,0.064,57.2,70.4,15.6
J112741.37+080504.0,0.0639,57.2,70.4,16.31
J112746.28+265734.5,0.0334,95.5,63.5,14.7
J112746.75+265909.8,0.0338,95.5,63.5,14.7
J112754.42-011332.5,0.0421,70.2,58.2,18.73
J112757.53-011240.2,0.0427,70.2,58.2,16.35
J112807.39+482159.5,0.0519,97.0,98.2,16.58
J112813.84+482153.0,0.052,97.0,98.2,16.6
J112814.34+273910.2,0.0334,138.7,92.3,14.92
J112815.25+261403.0,0.1063,26.6,51.7,15.12
J112816.83+261415.0,0.1064,26.6,51.7,17.45
J112819.92+273719.6,0.0321,138.7,92.3,15.04
J112833.14+264212.4,0.0532,24.7,26.1,15.86
J112834.78+264209.7,0.0542,24.7,26.1,16.53
J112847.03+452930.4,0.0912,45.2,76.8,16.63
J112850.01+452936.5,0.0913,45.2,76.8,16.03
J113100.24+251316.4,0.0318,94.9,60.6,14.7
J113103.40+251154.2,0.032,94.9,60.6,14.71
J113147.23+005556.6,0.1042,5.2,9.9,16.83
J113147.36+005551.8,0.1035,5.2,9.9,16.99
J113236.46+185051.6,0.0359,72.3,51.2,14.7
J113238.74+185155.4,0.0356,72.3,51.2,16.73
J113406.01+471533.1,0.1021,47.3,88.7,16.22
J113407.70+471613.0,0.1019,47.3,88.7,17.16
J113600.25-033756.3,0.0624,82.8,99.6,17.02
J113603.25-033646.8,0.0624,82.8,99.6,16.02
J113625.89+452756.9,0.1161,41.3,86.9,16.39
J113628.54+452745.3,0.1163,41.3,86.9,17.42
J113723.03-031253.8,0.1401,24.7,60.9,16.88
J113724.53-031303.9,0.1386,24.7,60.9,17.03
J113759.85+482621.7,0.1002,6.2,11.4,18.56
J113800.25+482623.3,0.1,6.2,11.4,16.37
J113811.72+062502.2,0.0921,32.1,55.0,16.89
J113813.80+062509.6,0.0923,32.1,55.0,15.83
J113839.39+551622.5,0.0636,48.7,59.6,17.52
J113840.02+551534.7,0.0637,48.7,59.6,15.39
J113847.22+545935.7,0.075,60.2,85.7,16.39
J113849.16+550028.3,0.076,60.2,85.7,15.81
J113906.44+171008.7,0.0216,156.1,67.0,14.7
J113914.87+170837.2,0.0212,156.1,67.0,13.7
J113914.88-024107.9,0.1032,9.0,17.1,15.69
J113915.39-024112.7,0.1041,9.0,17.1,18.82
J113938.85+572910.5,0.0703,42.0,57.3,15.24
J113941.43+572854.1,0.0716,42.0,57.3,16.38
J113944.26+465805.4,0.1146,9.1,19.0,17.57
J113944.30+465756.3,0.1147,9.1,19.0,17.52
J114137.50+470447.5,0.0346,139.8,96.3,15.12
J114143.90+470305.8,0.0358,139.8,96.3,16.52
J114152.47+201456.7,0.0228,105.8,47.8,15.31
J114159.36+201519.4,0.0224,105.8,47.8,16.15
J114222.30+084555.7,0.0219,15.8,7.0,13.99
J114222.34+084611.5,0.0216,15.8,7.0,13.91
J114322.85+283540.2,0.1019,25.0,46.6,16.58
J114324.34+283529.0,0.1013,25.0,46.6,16.76
J114339.64+332502.8,0.0319,125.1,79.6,14.39
J114345.30+332331.0,0.032,125.1,79.6,14.81
J114356.92+333052.2,0.0316,121.7,75.7,14.7
J114403.36+333206.3,0.0311,121.7,75.7,14.65
J114417.13+332105.0,0.0322,130.4,83.9,15.11
J114425.14+072959.5,0.0673,72.0,92.8,15.23
J114425.78+332118.3,0.0311,130.4,83.9,13.6
J114426.39+073109.0,0.0665,72.0,92.8,16.57
J114430.25+073615.7,0.066,26.7,34.3,15.17
J114431.47+073635.1,0.0672,26.7,34.3,17.09
J114605.87+074241.7,0.0758,66.2,94.6,16.37
J114606.92+082219.2,0.1079,13.0,25.6,16.46
J114607.68+082213.1,0.1064,13.0,25.6,15.96
J114608.27+074337.4,0.0753,66.2,94.6,16.74
J114650.39+052304.4,0.0921,37.1,63.5,16.71
J114652.03+052332.1,0.0926,37.1,63.5,16.9
J114701.23+001102.0,0.1114,32.9,66.8,15.63
J114703.22+001048.3,0.1116,32.9,66.8,17.0
J114719.76+075229.3,0.0821,14.1,21.9,16.85
J114719.95+075243.1,0.0826,14.1,21.9,16.65
J114726.68+080030.5,0.0907,13.1,22.0,16.37
J114726.95+080018.0,0.0901,13.1,22.0,17.25
J114753.63+094552.0,0.0951,3.7,6.6,16.49
J114753.68+094555.6,0.0966,3.7,6.6,16.69
J114804.61+372638.1,0.0418,51.4,42.4,13.82
J114807.33+372709.5,0.0431,51.4,42.4,14.92
J114838.36+565646.2,0.0516,16.3,16.6,16.94
J114839.34+565639.1,0.0521,16.3,16.6,15.72
J114938.17-033408.7,0.0273,143.7,79.6,14.38
J114939.73-033146.9,0.0276,143.7,79.6,14.89
J114949.79-033103.7,0.0267,157.1,87.0,14.57
J115031.12+503234.9,0.0239,74.4,35.8,15.19
J115034.38+064555.9,0.0513,47.4,47.5,15.61
J115034.76+503144.3,0.023,74.4,35.8,13.42
J115037.11+064619.8,0.0513,47.4,47.5,17.73
J115058.20+324938.0,0.1369,40.6,98.0,16.7
J115100.88+324943.8,0.1363,40.6,98.0,16.8
J115117.40+330408.5,0.0817,25.9,39.4,17.26
J115118.61+330427.0,0.0807,25.9,39.4,15.96
J115132.08+273848.7,0.0288,81.4,47.0,14.27
J115133.01+274008.9,0.029,81.4,47.0,15.94
J115205.77+545817.0,0.06,18.7,21.4,15.8
J115206.58+545831.3,0.0592,18.7,21.4,17.34
J115249.84+133751.7,0.0702,35.9,47.9,14.7
J115251.92+133734.2,0.0699,35.9,47.9,17.53
J115319.93+525553.2,0.0518,7.0,7.2,15.51
J115320.40+525553.1,0.0527,7.0,7.2,15.59
J115343.51+573951.5,0.0341,83.0,57.0,15.28
J115349.04+573954.4,0.0345,83.0,57.0,16.31
J115423.89+040805.4,0.101,53.8,99.2,16.36
J115427.43+040756.2,0.1,53.8,99.2,16.54
J115600.16+410633.4,0.0527,88.0,90.3,15.88
J115601.13+001237.9,0.0782,63.3,92.7,15.99
J115603.07+410749.7,0.0522,88.0,90.3,16.16
J115604.38+001157.5,0.0773,63.3,92.7,16.27
J115609.58+143637.8,0.0811,45.5,69.5,15.36
J115610.40+045935.0,0.079,10.0,15.0,18.93
J115610.77+045943.4,0.0795,10.0,15.0,15.16
J115612.13+143613.3,0.0816,45.5,69.5,16.61
J115655.10+270107.7,0.0848,18.4,29.3,16.41
J115656.32+270109.6,0.085,18.4,29.3,17.34
J115701.26+030338.6,0.0969,51.4,92.2,17.05
J115701.83+150104.2,0.0795,54.2,82.4,16.74
J115704.54+030353.6,0.0968,51.4,92.2,16.1
J115704.89+150133.1,0.0806,54.2,82.4,16.67
J115802.74+322522.0,0.0791,6.1,9.1,14.7
J115802.87+322516.2,0.0784,6.1,9.1,16.94
J115832.63+371013.5,0.063,76.1,92.4,15.69
J115832.68+303921.8,0.0811,51.1,77.9,16.59
J115835.76+303900.1,0.0808,51.1,77.9,16.84
J115837.34+371041.9,0.063,76.1,92.4,17.13
J115852.44+503231.4,0.1216,40.9,89.4,17.03
J115855.16+503234.2,0.1229,40.9,89.4,16.61
J115940.72-032102.8,0.0463,96.7,87.5,16.25
J115947.11-032115.7,0.0461,96.7,87.5,15.71
J120014.26+124951.8,0.0829,64.5,99.6,16.26
J120017.85+124916.1,0.0819,64.5,99.6,17.12
J120026.13+115945.3,0.0438,56.6,48.8,16.28
J120029.80+115932.2,0.0436,56.6,48.8,14.32
J120053.39+133644.5,0.0824,15.7,24.3,17.57
J120053.51+133700.1,0.0822,15.7,24.3,16.56
J120157.72+295926.7,0.072,19.1,25.9,17.43
J120157.88+295945.6,0.0713,19.1,25.9,16.54
J120207.00+041205.0,0.1356,5.0,12.0,17.36
J120207.31+041203.3,0.1362,5.0,12.0,17.2
J120233.95+204855.6,0.0223,217.5,97.8,15.03
J120238.12+544735.5,0.0495,45.8,44.4,15.68
J120238.20+173155.1,0.0768,64.3,93.9,16.01
J120239.40+173256.8,0.0771,64.3,93.9,16.31
J120240.07+544700.3,0.0489,45.8,44.4,15.58
J120248.45+204852.8,0.0238,217.5,97.8,15.22
J120350.79+413855.6,0.078,43.1,63.5,16.47
J120351.83+413815.4,0.0772,43.1,63.5,17.13
J120415.48+281215.8,0.0793,14.3,21.5,15.97
J120416.29+281208.2,0.0809,14.3,21.5,15.64
J120417.49+033550.3,0.201,29.8,98.7,16.71
J120418.49+033524.6,0.2006,29.8,98.7,17.62
J120432.52+201217.8,0.0207,155.6,65.4,13.24
J120437.98+525717.2,0.0816,25.3,38.5,16.11
J120439.55+525726.3,0.0808,25.3,38.5,16.17
J120440.44+201358.2,0.0208,155.6,65.4,17.23
J120443.32+311038.2,0.025,61.5,31.0,13.31
J120445.20+311132.9,0.025,61.5,31.0,15.16
J120459.38+322117.0,0.0601,85.8,98.3,15.37
J120500.24+321952.2,0.0592,85.8,98.3,15.91
J120502.23+381443.5,0.0238,190.7,90.6,15.13
J120514.73+381408.2,0.0236,190.7,90.6,13.54
J120515.24+201838.5,0.0226,190.2,86.8,15.18
J120521.85+224351.2,0.0735,70.1,98.1,16.98
J120526.43+224337.5,0.0757,70.1,98.1,16.77
J120527.92+201831.5,0.0244,190.2,86.8,13.56
J120537.43+203320.6,0.0241,39.8,20.5,13.42
J120540.09+203320.6,0.0256,39.8,20.5,13.77
J120550.07+202837.2,0.0225,163.2,74.2,12.74
J120551.47+203119.1,0.0238,163.2,74.2,13.76
J120554.22+203421.1,0.0238,186.7,89.8,13.13
J120617.07+143850.7,0.0658,61.0,76.6,15.22
J120618.50+143753.6,0.0654,61.0,76.6,15.97
J120702.26+584959.2,0.0316,18.4,11.6,14.47
J120702.92+584943.7,0.0312,18.4,11.6,15.39
J120712.74+135302.2,0.0809,55.2,84.3,15.9
J120712.93+135357.3,0.0813,55.2,84.3,17.43
J120718.36+204450.9,0.0591,41.5,47.7,15.4
J120721.00+204503.5,0.0594,41.5,47.7,15.75
J120722.37+204353.6,0.0591,72.9,83.7,17.16
J120757.55+362530.7,0.2154,5.7,19.9,17.77
J120757.80+362535.0,0.2163,5.7,19.9,17.87
J120802.08+094557.1,0.0694,68.2,90.3,14.53
J120802.65+140645.2,0.0572,74.1,82.0,16.65
J120805.00+140750.4,0.0571,74.1,82.0,15.51
J120805.31+094645.2,0.0693,68.2,90.3,16.09
J120806.99+330628.5,0.0781,10.7,15.9,16.31
J120807.70+330627.3,0.0784,10.7,15.9,16.87
J120808.19+250158.4,0.0227,166.1,76.1,15.31
J120809.09+250444.0,0.0241,166.1,76.1,14.26
J120821.75+122701.8,0.0665,27.4,34.9,15.79
J120822.64+122725.8,0.0658,27.4,34.9,14.7
J120844.42+412141.9,0.0961,26.3,46.8,17.07
J120846.14+412146.6,0.0962,26.3,46.8,17.25
J120928.03+110220.2,0.107,30.8,60.3,16.52
J120928.78+110151.5,0.107,30.8,60.3,16.42
J120943.73+153709.7,0.081,43.0,65.2,16.52
J120945.21+321701.1,0.1444,27.6,70.6,14.7
J120946.44+153723.6,0.0804,43.0,65.2,17.5
J120946.76+321716.0,0.1461,27.6,70.6,17.41
J120951.06+592652.8,0.0443,112.6,97.4,14.02
J120952.67+592842.7,0.0439,112.6,97.4,15.75
J120959.18+251125.9,0.0814,46.8,71.9,15.69
J121000.36+251042.5,0.0808,46.8,71.9,16.99
J121026.39+113924.3,0.0625,75.9,91.5,15.94
J121026.53+113808.4,0.0631,75.9,91.5,16.71
J121028.48+273102.1,0.0446,29.6,26.0,14.99
J121030.30+273113.4,0.044,29.6,26.0,16.32
J121103.55+292506.8,0.1436,3.0,7.6,17.69
J121103.61+304758.7,0.0713,12.9,17.5,17.13
J121103.67+292504.4,0.1439,3.0,7.6,17.65
J121104.47+304758.3,0.0716,12.9,17.5,15.49
J121114.45+495016.7,0.2208,5.9,21.0,18.84
J121114.52+495022.4,0.2206,5.9,21.0,17.93
J121125.11+160710.7,0.0792,45.7,68.4,17.81
J121126.93+160634.1,0.0797,45.7,68.4,15.53
J121150.91+150857.0,0.072,29.3,40.6,15.9
J121152.68+150844.6,0.073,29.3,40.6,17.93
J121155.64+372113.4,0.0838,10.3,16.2,16.72
J121156.28+372109.9,0.0834,10.3,16.2,16.05
J121217.01+023512.5,0.0818,62.8,98.2,16.0
J121218.29+023412.8,0.0832,62.8,98.2,17.51
J121251.95+223530.2,0.0843,21.2,33.6,16.53
J121253.34+223526.7,0.084,21.2,33.6,16.4
J121333.02+142900.1,0.0638,24.1,29.6,16.08
J121334.12+142842.4,0.0635,24.1,29.6,15.91
J121345.95+024839.0,0.073,3.4,4.8,19.32
J121346.11+024841.4,0.0731,3.4,4.8,16.42
J121349.75+275608.4,0.0807,18.1,27.6,16.19
J121350.90+275602.9,0.081,18.1,27.6,17.57
J121351.33+024805.8,0.0747,54.5,76.9,16.08
J121354.87+024753.0,0.0743,54.5,76.9,16.28
J121425.18+082251.9,0.0733,51.8,72.2,16.58
J121428.15+082225.6,0.0724,46.3,65.2,14.7
J121431.24+082225.7,0.074,46.3,65.2,15.96
J121442.50+125924.8,0.0579,48.3,53.4,14.81
J121442.95+125746.4,0.059,51.1,56.4,16.02
J121443.11+125837.4,0.057,48.3,53.4,15.88
J121453.44-022540.6,0.0684,36.5,47.8,16.52
J121454.85-022510.9,0.0686,36.5,47.8,16.01
J121510.46+170639.1,0.1523,3.7,9.9,18.13
J121510.55+170642.6,0.1534,3.7,9.9,17.4
J121524.74+121539.2,0.0626,46.7,57.7,17.07
J121526.89+121613.0,0.0642,46.7,57.7,15.84
J121534.50+222300.7,0.1271,43.5,98.8,17.0
J121535.56+074147.1,0.0738,56.7,79.3,15.77
J121535.94+222338.4,0.1288,43.5,98.8,16.4
J121538.99+074123.5,0.0735,56.7,79.3,15.37
J121542.46-013435.2,0.1235,27.2,60.8,17.18
J121544.25-013439.7,0.1247,27.2,60.8,16.8
J121544.74+592639.1,0.0959,15.2,27.1,14.7
J121544.87+592654.2,0.0958,15.2,27.1,18.4
J121608.12+575114.8,0.0496,90.4,87.6,15.4
J121610.58+575237.3,0.0503,90.4,87.6,15.46
J121615.46+174804.4,0.0296,143.5,85.2,15.01
J121621.17+174609.2,0.0304,143.5,85.2,15.29
J121627.69+102518.1,0.0726,55.5,76.6,16.8
J121628.30+102423.4,0.0727,55.5,76.6,16.1
J121749.32+354450.4,0.088,5.9,9.8,15.79
J121749.72+354450.4,0.0881,5.9,9.8,17.54
J121858.34+103547.7,0.086,60.8,98.1,16.2
J121901.78+103515.3,0.0861,60.8,98.1,17.59
J121940.03+281034.1,0.0753,68.3,98.8,16.29
J121941.37+281139.3,0.0764,68.3,98.8,16.02
J121943.14+132660.0,0.0647,9.0,11.2,17.35
J121943.61+132705.5,0.065,9.0,11.2,15.97
J121950.01+190124.0,0.1165,43.7,92.0,15.86
J121952.81+190111.7,0.1162,43.7,92.0,17.21
J122037.11+342631.1,0.0324,138.1,89.4,14.04
J122041.86+342829.4,0.0327,138.1,89.4,15.85
J122116.97+570531.3,0.0673,73.5,95.4,15.73
J122119.05+570637.8,0.0677,73.5,95.4,15.81
J122150.88+134003.0,0.0641,46.6,57.5,17.13
J122151.68+461543.0,0.0839,4.3,6.8,17.15
J122151.69+461538.7,0.0838,4.3,6.8,17.77
J122153.54+133938.8,0.0641,46.6,57.5,16.14
J122217.55-000744.6,0.1721,4.7,13.9,17.66
J122217.86-000743.8,0.1728,4.7,13.9,14.7
J122311.63+060419.7,0.0237,195.6,93.5,13.58
J122322.27+060226.6,0.0234,195.6,93.5,13.48
J122334.00+200436.6,0.1193,3.2,6.9,17.13
J122334.07+200439.6,0.1191,3.2,6.9,16.94
J122414.61+201709.2,0.0653,20.0,25.0,15.23
J122415.61+201722.3,0.0646,20.0,25.0,14.7
J122417.75+092003.6,0.0221,196.1,87.8,14.72
J122429.15+092139.9,0.0223,196.1,87.8,15.25
J122444.96+121018.3,0.092,4.0,6.7,17.68
J122445.18+121020.6,0.0905,4.0,6.7,16.88
J122525.48+285638.5,0.0642,59.9,74.7,15.09
J122527.14+285733.0,0.0649,59.9,74.7,16.6
J122536.69-025401.9,0.025,191.5,96.7,14.58
J122540.90-025702.6,0.0251,191.5,96.7,13.81
J122619.13+260745.5,0.0311,57.9,36.0,16.18
J122620.76+260837.9,0.0321,57.9,36.0,15.25
J122628.28+090126.4,0.0247,115.7,57.7,20.38
J122635.49+090207.6,0.0249,115.7,57.7,13.67
J122637.11+401901.3,0.0648,58.5,72.9,16.48
J122639.36+401813.5,0.0651,58.5,72.9,14.7
J122640.72+430627.7,0.0749,67.8,96.4,17.47
J122643.89+430716.0,0.0763,67.8,96.4,16.31
J122654.37+254017.1,0.0657,60.4,76.2,15.29
J122655.81+253920.8,0.0652,60.4,76.2,14.7
J122726.27+081123.8,0.1185,23.2,50.0,14.7
J122727.54+081137.0,0.1194,23.2,50.0,16.72
J122752.70+365445.0,0.1009,33.9,62.7,16.25
J122753.29+365412.2,0.1004,33.9,62.7,17.68
J122835.99+313632.2,0.0383,77.5,58.5,15.97
J122840.71+313600.6,0.0381,77.5,58.5,15.04
J122907.44+362723.8,0.0714,18.3,24.9,15.93
J122908.09+362708.4,0.0716,18.3,24.9,17.52
J122939.28+250819.6,0.0568,45.2,49.8,15.76
J122941.88+250842.4,0.0566,45.2,49.8,15.91
J123031.60+425822.2,0.0637,63.0,79.3,16.09
J123035.41+425755.6,0.0656,63.0,79.3,14.85
J123047.08+230752.0,0.0571,22.1,24.4,17.14
J123048.44+230743.7,0.0565,22.1,24.4,15.0
J123058.02+512039.0,0.0441,64.6,54.1,14.49
J123100.38+512133.1,0.0425,64.6,54.1,15.51
J123152.06+450443.1,0.0624,22.8,27.3,14.7
J123153.49+450435.4,0.0621,22.8,27.3,17.28
J123210.51+524144.3,0.0598,11.9,13.7,16.01
J123211.07+524152.7,0.0601,11.9,13.7,16.71
J123310.46+075003.2,0.0203,65.6,27.0,14.51
J123311.76+075105.9,0.0218,65.6,27.0,13.36
J123351.61+195311.8,0.0737,5.1,7.1,17.1
J123351.89+195308.8,0.0735,5.1,7.1,16.63
J123405.05+062933.2,0.0809,43.2,65.9,16.3
J123407.84+062922.5,0.0808,43.2,65.9,16.06
J123429.58+325337.4,0.088,14.1,23.2,16.18
J123430.44+325343.0,0.0879,14.1,23.2,17.09
J123506.54+171511.8,0.0898,14.5,24.3,16.3
J123507.49+171509.1,0.0894,14.5,24.3,16.37
J123518.18+060922.7,0.0916,31.4,53.6,17.44
J123519.51+060947.0,0.0917,31.4,53.6,17.38
J123538.60+050221.4,0.0652,23.3,29.2,16.04
J123540.14+050224.2,0.0653,23.3,29.2,16.37
J123631.35+015002.2,0.1678,3.9,11.2,16.56
J123631.42+014958.5,0.168,3.9,11.2,19.27
J123641.55+165442.3,0.0704,56.0,75.2,17.14
J123642.53+165348.3,0.0689,56.0,75.2,16.1
J123657.49+150751.0,0.0738,36.8,51.6,17.49
J123659.01+150819.9,0.0731,36.8,51.6,15.52
J123712.60+152258.9,0.0724,35.1,47.8,17.48
J123713.22+152332.8,0.0714,35.1,47.8,17.12
J123759.42+000857.7,0.0896,42.7,71.5,17.59
J123800.38+000817.6,0.0898,42.7,71.5,16.53
J123856.32+060925.6,0.0736,4.6,6.4,17.86
J123856.35+060930.2,0.0738,4.6,6.4,14.46
J123902.27+161824.7,0.0742,6.2,8.7,15.54
J123902.55+161829.3,0.074,6.2,8.7,15.84
J123910.46+163730.9,0.0724,72.6,99.5,17.24
J123915.19+163746.2,0.0719,72.6,99.5,16.76
J123917.41+172246.8,0.0662,71.0,90.2,16.78
J123921.97+172227.7,0.0662,71.0,90.2,16.55
J124021.98+010244.1,0.0818,57.4,88.4,15.85
J124024.88+010206.6,0.0814,57.4,88.4,15.53
J124030.74+171521.5,0.0656,73.9,91.7,15.47
J124035.36+171547.5,0.0645,73.9,91.7,16.53
J124135.34+401000.1,0.0801,54.6,83.0,16.54
J124137.22+401046.8,0.0807,54.6,83.0,16.29
J124144.87+124654.8,0.0856,59.9,96.2,16.35
J124148.25+124622.8,0.0858,59.9,96.2,17.64
J124209.27+092845.8,0.0833,64.5,99.9,15.59
J124212.59+092926.8,0.0823,64.5,99.9,15.74
J124224.84+421614.4,0.075,56.9,81.1,16.3
J124227.97+421542.3,0.0729,56.9,81.1,16.78
J124250.24+294912.7,0.0619,72.3,86.1,15.05
J124253.47+295006.3,0.0618,72.3,86.1,17.59
J124313.03+310320.2,0.0244,106.5,50.2,14.7
J124313.91+310505.9,0.0234,106.5,50.2,13.68
J124415.00+013730.2,0.1377,9.3,22.5,16.87
J124415.27+013721.9,0.1368,9.3,22.5,18.92
J124415.78-015055.6,0.0856,57.9,92.8,17.23
J124416.42-014958.5,0.0854,57.9,92.8,16.11
J124610.11+304354.9,0.0219,37.2,16.4,13.94
J124611.24+304321.9,0.0218,37.2,16.4,16.08
J124625.01+264239.9,0.0456,62.3,55.9,15.29
J124628.77+264306.2,0.0457,62.3,55.9,15.51
J124633.09+103538.4,0.0531,60.9,63.0,16.51
J124633.76+115347.9,0.0472,91.4,84.6,14.02
J124635.41+103628.4,0.0549,60.9,63.0,16.97
J124637.14+513440.1,0.067,28.6,36.7,17.49
J124638.73+513455.9,0.067,28.6,36.7,14.7
J124639.80+115359.6,0.0465,91.4,84.6,17.17
J124646.34+095102.0,0.0238,158.6,76.2,13.88
J124656.80+095125.6,0.0245,158.6,76.2,14.17
J124826.08+044550.6,0.0734,58.9,81.4,16.04
J124828.83+044632.5,0.0726,58.9,81.4,17.0
J124905.47-014115.8,0.085,59.8,95.4,15.9
J124909.44-014110.9,0.0868,59.8,95.4,17.1
J124916.13+175639.6,0.0818,55.6,85.7,16.77
J124916.54+175544.4,0.0802,55.6,85.7,15.37
J125127.59+054751.4,0.0483,85.5,81.9,16.14
J125128.78+054915.0,0.049,85.5,81.9,15.6
J125257.60+090005.0,0.0402,112.5,89.5,14.7
J125258.14+090157.2,0.0402,112.5,89.5,14.81
J125335.82+093216.0,0.0239,150.9,74.5,14.91
J125340.46+093002.1,0.0245,150.9,74.5,15.39
J125345.40+144503.7,0.1511,5.8,15.2,17.65
J125345.69+144459.9,0.1501,5.8,15.2,16.35
J125359.04+393650.4,0.1124,10.0,20.4,16.31
J125359.70+393649.2,0.1126,10.0,20.4,16.59
J125422.33+174912.5,0.1236,6.1,13.6,17.47
J125422.54+174907.4,0.1244,6.1,13.6,17.22
J125434.25+365835.2,0.0534,78.4,81.7,15.51
J125435.06+365717.7,0.0535,78.4,81.7,16.15
J125514.35+190838.4,0.0643,74.3,91.9,16.54
J125519.11+190818.0,0.0648,74.3,91.9,16.33
J125538.09+195547.6,0.0841,21.1,33.3,16.12
J125538.72+195606.4,0.0849,21.1,33.3,17.52
J125539.69+502014.8,0.0532,50.8,53.2,16.46
J125540.71+502103.2,0.0538,50.8,53.2,15.3
J125608.60+195111.0,0.0806,49.8,75.8,15.98
J125610.74+195032.9,0.0807,49.8,75.8,16.96
J125647.85+302531.4,0.068,43.7,56.9,16.63
J125650.43+302511.4,0.0673,43.7,56.9,15.43
J125703.89+381541.9,0.0731,19.0,26.4,16.08
J125704.04+381600.8,0.0722,19.0,26.4,17.29
J125741.05+202347.8,0.0806,3.3,5.0,16.43
J125741.17+202350.6,0.0801,3.3,5.0,16.6
J125755.83+383459.8,0.1115,28.7,58.2,17.21
J125757.68+383507.3,0.1119,28.7,58.2,16.83
J125812.11+122403.1,0.0499,96.7,94.9,17.19
J125818.11+122327.4,0.0502,96.7,94.9,14.75
J125828.41+273333.8,0.0253,167.6,85.2,15.59
J125835.19+273547.0,0.0256,167.6,85.2,13.51
J125853.51+372439.6,0.0338,63.1,42.5,15.53
J125856.38+372353.4,0.0347,63.1,42.5,14.66
J125917.62+162617.5,0.0632,64.7,78.1,17.08
J125921.90+162625.4,0.0627,64.7,78.1,15.76
J125922.77+384927.7,0.0351,121.5,84.7,14.91
J125927.99+385100.7,0.035,121.5,84.7,15.75
J125929.96+275723.2,0.0227,71.3,34.4,14.11
J125934.12+275648.6,0.024,71.3,34.4,14.31
J125939.94+312707.4,0.0514,96.9,97.3,15.62
J125942.04+085612.3,0.0469,100.2,90.8,15.2
J125946.28+312726.5,0.0508,96.9,97.3,16.03
J125948.65+085557.9,0.0462,100.2,90.8,15.23
J125949.24+225957.3,0.0741,64.5,91.3,16.7
J125952.36+225913.0,0.0745,64.5,91.3,17.74
J130000.06+643422.7,0.1017,10.1,18.8,17.4
J130000.72+643424.6,0.1016,10.1,18.8,17.65
J130257.17+004352.8,0.0678,42.3,55.1,15.9
J130257.49+004310.8,0.0681,42.3,55.1,16.9
J130300.95+063634.1,0.0629,61.3,74.0,15.95
J130304.31+063559.3,0.0627,61.3,74.0,17.39
J130317.86+402205.7,0.076,55.8,80.4,16.04
J130318.31+402301.0,0.0761,55.8,80.4,16.14
