sdss designation,redshift,angular sep,proper sep,sdss r band
J073423.82+314628.2,0.0625,65.1,76.0,15.91
J073426.45+314536.4,0.0604,65.1,76.0,14.76
J073811.17+280740.8,0.0794,61.8,92.7,17.15
J073813.15+280646.5,0.0812,61.8,92.7,17.13
J073905.83+442410.4,0.1341,5.2,12.3,16.72
J073906.17+442410.0,0.1345,5.2,12.3,17.36
J074010.76+491835.7,0.0216,113.2,49.4,14.5
J074014.63+491658.6,0.0215,113.2,49.4,14.7
J074535.73+335746.7,0.0625,59.1,71.2,15.23
J074537.24+335652.0,0.0611,59.1,71.2,16.55
J074747.14+170408.7,0.0994,9.7,17.9,16.41
J074747.52+170416.6,0.0998,9.7,17.9,16.16
J074939.00+425801.4,0.0307,144.3,88.7,14.36
J074948.62+425801.0,0.0311,144.3,88.7,15.95
J075029.71+444931.0,0.0487,59.8,57.1,17.74
J075031.11+445027.0,0.0487,59.8,57.1,15.73
J075133.82+425457.4,0.0321,131.8,84.5,15.47
J075135.63+425248.4,0.032,131.8,84.5,13.99
J075234.30+314537.6,0.0588,76.5,87.0,16.48
J075234.43+314421.1,0.0589,76.5,87.0,16.17
J075321.86+361734.4,0.046,68.0,61.1,15.64
J075322.76+361627.8,0.0457,68.0,61.1,14.72
J075322.80+243302.5,0.0615,4.8,5.7,15.86
J075323.10+243300.6,0.0609,4.8,5.7,15.99
J075421.71+314635.5,0.0616,72.4,86.0,16.0
J075424.56+314733.9,0.0612,72.4,86.0,15.69
J075625.09+270045.2,0.0218,55.9,24.1,13.73
J075628.36+270112.0,0.0213,55.9,24.1,17.57
J075629.67+113429.4,0.0701,9.1,12.2,16.77
J075629.77+113438.4,0.0701,9.1,12.2,17.26
J075640.36+445211.3,0.0501,69.0,67.6,14.64
J075643.72+445124.2,0.0499,69.0,67.6,15.12
J075925.27+375216.0,0.0408,123.1,98.6,16.16
J075931.83+375252.2,0.0422,28.2,22.6,16.88
J075932.30+375319.5,0.0405,28.2,22.6,16.9
J075943.29+182803.8,0.0378,89.8,67.4,16.82
J075945.44+182640.0,0.039,89.8,67.4,15.5
J075958.51+290208.5,0.0587,63.8,72.4,16.03
J080002.59+290150.7,0.0591,63.8,72.4,15.73
J080014.30+264152.8,0.028,82.9,46.6,14.99
J080019.77+264205.2,0.0278,82.9,46.6,14.02
J080035.41+302406.3,0.0457,70.8,63.6,16.1
J080040.13+302404.7,0.0458,70.8,63.6,15.24
J080053.16+102924.6,0.0666,49.4,63.3,14.7
J080053.23+102835.3,0.0669,49.4,63.3,16.31
J080132.31+420008.4,0.0316,154.6,97.6,14.05
J080142.59+420019.5,0.0318,154.6,97.6,15.94
J080431.30+083920.1,0.0469,105.0,95.7,15.81
J080437.80+083841.0,0.0464,105.0,95.7,17.17
J080523.29+281815.8,0.1284,2.4,5.6,15.99
J080523.40+281814.1,0.1286,2.4,5.6,18.18
J080529.88+241004.4,0.0595,78.1,89.8,15.57
J080535.00+240950.3,0.0597,78.1,89.8,15.38
J080659.13+195106.0,0.0387,112.3,86.6,14.66
J080706.34+195136.0,0.039,112.3,86.6,16.55
J080712.30+145906.7,0.0292,139.1,81.4,14.52
J080716.59+145703.3,0.0295,139.1,81.4,13.71
J080718.57+095056.4,0.0662,44.4,57.0,14.7
J080719.87+095136.2,0.067,44.4,57.0,17.78
J080825.91+072241.8,0.1003,49.9,92.7,16.42
J080829.23+072238.6,0.1008,49.9,92.7,17.47
J080846.80+490513.6,0.0925,55.9,95.4,16.54
J080846.87+490417.7,0.0917,55.9,95.4,17.17
J081033.57+052101.9,0.027,127.1,68.9,16.15
J081034.10+052308.8,0.0277,127.1,68.9,14.9
J081128.08+433818.0,0.143,27.0,67.8,16.31
J081129.03+433841.0,0.1428,27.0,67.8,17.81
J081144.03+143048.4,0.0563,19.0,21.1,16.17
J081144.48+143030.6,0.0573,19.0,21.1,17.23
J081151.84+302027.2,0.0764,55.5,80.3,17.12
J081154.91+301956.3,0.0751,55.5,80.3,16.67
J081250.57+575517.5,0.0269,179.4,96.8,14.06
J081258.33+575301.1,0.0272,179.4,96.8,14.6
J081301.96+194620.4,0.0677,68.1,88.2,16.97
J081303.17+194726.0,0.0677,68.1,88.2,16.73
J081354.75+094110.2,0.0502,83.7,82.1,16.51
J081355.78+094232.4,0.0516,83.7,82.1,16.97
J081510.00+480450.3,0.0547,93.3,99.2,15.48
J081511.41+480319.4,0.0542,93.3,99.2,15.12
J081538.67+581748.7,0.0266,127.0,69.0,13.69
J081544.84+581915.6,0.0271,127.0,69.0,13.05
J081552.39+203008.9,0.0438,103.5,89.8,15.17
J081559.18+202950.9,0.0441,103.5,89.8,15.22
J081622.51+161227.7,0.1723,2.5,7.3,17.32
J081622.52+161230.2,0.1727,2.5,7.3,18.66
J081711.20+421421.4,0.0651,62.2,77.8,17.37
J081713.59+421512.3,0.0651,62.2,77.8,16.06
J081727.26+215220.7,0.1116,45.8,93.1,16.57
J081729.72+215248.0,0.1118,45.8,93.1,17.58
J081801.07+115240.5,0.1101,28.6,57.3,16.84
J081802.71+115225.8,0.1098,28.6,57.3,16.1
