index,cntr_01,dist_x,pang_x,ra_01,dec_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
1585,1586,1.514553,-175.859467,202.28154167,37.651861111,J132907.56+373905.1,202.2815033,37.6514415,0.0514,0.0768,0.02,13.391,0.033,33.0,4.33,13.386,0.037,29.2,1.309,11.629,0.154,7.0,0.9452,8.319,,1.6,0.9249,2,1,0.0,0.0,0.0,0.0,194,61,144,72,0000,5,nnnn,AABU,0011,43,43,43,43,4,30,0,30
1587,1588,0.380951,125.511157,202.38866667,9.8764166667,J132933.30+095234.8,202.3887541,9.8763552,0.0577,0.0585,-0.004,14.024,0.027,40.2,3.181,13.925,0.038,28.3,1.159,12.359,0.356,3.0,1.013,9.082,,-0.4,1.008,1,0,0.0,0.0,0.0,0.0,165,98,100,105,0000,1,00nn,AACU,0111,27,27,27,27,0,16,0,16
1588,1589,1.419502,174.935413,202.40166667,9.8851666667,J132936.40+095305.1,202.401702,9.8847739,0.0562,0.1026,-0.019,13.523,0.048,22.8,1.709,13.355,0.052,21.0,0.8952,9.73,0.07,15.6,0.8964,8.31,0.479,2.3,0.8554,2,1,0.0,0.0,0.0,0.0,188,263,359,276,0000,0,nnnn,AAAC,0111,27,27,27,27,16,16,0,16
1589,1590,0.084434,-28.729669,202.42733333,14.282333333,J132942.55+141656.4,202.4273217,14.2823539,0.0693,0.0712,0.0077,14.705,0.03,35.7,1.059,14.495,0.049,22.1,0.8696,11.728,0.213,5.1,0.8922,8.872,,0.7,0.9603,1,0,0.0,0.0,0.0,0.0,111,114,-82,121,0000,0,00nn,AABU,0011,35,35,35,35,1,22,0,22
1590,1591,0.252582,-27.145612,202.43120833,14.288166667,J132943.48+141717.6,202.4311753,14.2882291,0.0587,0.059,-0.0038,14.19,0.027,39.6,2.859,13.913,0.039,28.1,1.159,11.28,0.145,7.5,0.8802,8.523,,1.9,0.9716,1,0,0.0,0.0,0.0,0.0,19,82,-20,86,0000,4,00nn,AABU,0011,34,34,34,34,4,22,0,22
1591,1592,,,202.63229167,-0.60330555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,1593,0.37375,-122.11991,202.63333333,-0.60375,J133031.97-003613.6,202.6332454,-0.6038052,0.032,0.0321,-0.006,12.133,0.022,48.4,14.34,11.533,0.02,53.5,3.669,7.478,0.018,59.3,2.209,4.374,0.027,40.9,0.8562,1,0,0.0,0.0,0.0,0.002,-26,30,49,30,0000,5,1100,AAAA,0000,34,34,34,34,23,23,23,23
1593,1594,1.037122,-34.488205,203.02254167,2.3721944444,J133205.37+022220.7,203.0223784,2.3724319,0.0656,0.0739,-0.0414,13.777,0.04,27.1,1.637,13.47,0.044,24.6,1.069,10.134,0.076,14.3,0.9765,7.81,,1.5,0.902,2,1,0.0,0.0,0.0,0.0,305,54,-380,61,0000,0,nnnn,AAAU,0000,37,37,37,37,18,20,0,20
1594,1595,1.057753,16.943196,203.030375,2.3793333333,J133207.31+022246.6,203.0304607,2.3796144,0.0481,0.0742,-0.0045,13.486,0.037,29.0,2.439,12.987,0.039,27.5,1.05,9.542,0.048,22.4,0.9969,7.307,0.194,5.6,0.9374,2,1,0.0,0.0,0.0,0.0,181,57,-180,61,0000,0,nnnn,AAAB,0000,36,36,36,36,19,19,1,19
1595,1596,0.157042,-21.613454,203.116375,7.3164444444,J133227.92+071859.3,203.1163588,7.316485,0.0332,0.0321,-0.0061,10.01,0.023,47.5,50.94,9.996,0.02,54.6,30.92,8.159,0.019,55.7,8.458,6.549,0.056,19.5,1.629,1,0,0.0,0.0,0.0,0.0,-51,32,157,35,0000,5,3210,AAAA,0111,30,30,30,30,19,19,19,19
1596,1597,0.058338,-166.309298,203.13441667,7.2941944444,J133232.25+071739.0,203.1344128,7.2941787,0.0403,0.0388,-0.0078,12.017,0.023,46.3,17.65,11.955,0.022,48.7,4.645,9.902,0.056,19.4,1.013,7.678,0.138,7.9,0.9742,1,0,0.0,0.0,0.0,0.004,-71,48,118,47,0000,5,110n,AAAB,0111,31,31,31,31,19,19,3,20
1597,1598,0.188309,-24.495544,203.17729167,7.32725,J133242.54+071938.2,203.1772698,7.3272976,0.037,0.0355,-0.0059,10.814,0.023,47.2,32.7,10.858,0.021,52.9,14.57,9.228,0.035,31.4,0.9318,7.486,0.12,9.1,0.9582,1,0,0.0,0.0,0.0,0.0,0,36,0,34,0000,5,1200,AAAB,0111,29,29,29,29,18,18,7,18
1598,1599,0.120947,-26.963271,203.18070833,18.176305556,J133243.36+181034.8,203.1806923,18.1763355,0.0405,0.0395,-0.008,12.104,0.023,47.0,17.6,12.145,0.022,48.6,3.895,10.704,0.082,13.2,1.062,9.056,0.468,2.3,1.012,1,0,0.0,0.0,0.0,0.0,108,31,24,32,0000,5,110n,AAAC,0022,40,40,40,40,14,18,0,20
1599,1600,,,203.20866667,25.214722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,1601,0.033617,-66.062388,203.21870833,25.207861111,J133252.48+251228.3,203.2186989,25.2078649,0.0532,0.0546,-0.0074,13.984,0.026,42.0,1.169,13.82,0.034,31.6,0.9384,11.858,0.257,4.2,1.01,9.168,,0.1,1.005,1,0,0.0,0.0,0.0,0.0,122,84,65,91,0000,0,00nn,AABU,0011,32,32,32,32,2,16,0,16
1601,1602,0.152495,-9.042243,203.23029167,-3.0263333333,J133255.26-030134.6,203.230285,-3.0262915,0.0371,0.0369,-0.005,12.679,0.024,45.7,10.68,12.448,0.023,46.8,2.652,8.583,0.023,46.4,1.116,5.677,0.038,28.7,0.9974,1,0,0.0,0.0,0.0,0.0,1,34,110,34,0000,5,1100,AAAA,0000,38,38,38,38,23,23,23,23
1602,1603,0.387374,-117.142187,203.23379167,18.147888889,J133256.08+180852.2,203.2336909,18.1478398,0.1044,0.1122,0.0217,15.704,0.041,26.5,1.2,15.423,0.086,12.6,1.088,12.835,,-0.1,1.051,9.16,,0.2,0.9404,1,0,0.0,0.0,0.0,0.0,282,211,783,234,0000,0,0nnn,AAUU,0022,40,40,6,40,0,21,0,22
1603,1604,0.216984,6.659887,203.23575,-3.0276666667,J133256.58-030139.3,203.235757,-3.0276068,0.0385,0.0383,-0.0046,12.472,0.024,45.6,26.64,12.411,0.024,45.1,6.571,8.944,0.026,42.3,3.791,6.494,0.056,19.4,1.539,1,0,0.0,0.0,0.0,0.0,117,69,-74,81,0000,5,2200,AAAA,0000,38,38,38,38,23,23,23,23
1604,1605,1.177786,143.883485,203.26291667,34.550388889,J133303.15+343300.4,203.2631508,34.5501246,0.0477,0.0534,-0.0193,13.507,0.027,40.1,2.59,13.33,0.029,36.9,1.136,9.691,0.045,23.9,1.084,8.065,0.211,5.1,1.059,2,1,0.0,0.0,0.0,0.0,-307,53,500,56,0000,4,nnnn,AAAB,0011,46,46,46,46,18,18,2,19
1605,1606,0.617173,38.375241,203.317875,34.537,J133316.32+343213.6,203.3180042,34.5371344,0.0307,0.0309,-0.0042,10.961,0.023,47.5,21.28,10.726,0.02,54.4,9.775,7.062,0.016,66.9,6.411,4.928,0.031,34.9,1.069,1,0,0.0,0.0,0.0,0.0,55,30,126,30,0000,5,4200,AAAA,0011,43,43,43,43,16,16,16,16
1606,1607,0.01655,110.810801,203.88245833,63.896083333,J133531.79+635345.8,203.8824681,63.8960817,0.0496,0.0509,-0.006,14.189,0.025,44.1,2.388,14.044,0.031,35.2,1.012,11.785,0.154,7.1,0.9687,9.611,,-0.2,1.004,1,0,0.0,0.0,0.0,0.0,0,93,0,95,0000,0,00nn,AABU,0000,62,62,62,62,2,36,0,36
1608,1609,0.078757,-61.681688,204.15979167,20.542472222,J133638.34+203232.9,204.1597711,20.5424826,0.0674,0.066,-0.034,13.613,0.034,31.8,1.432,13.448,0.041,26.8,0.961,11.257,0.192,5.7,0.9496,8.089,,1.5,0.9645,2,1,0.0,0.0,0.0,0.0,,,,,0000,4,nnnn,AABU,0022,37,37,37,37,2,16,0,16
1609,1610,0.155479,157.342692,204.16083333,20.541305556,J133638.60+203228.5,204.1608511,20.5412657,0.0574,0.0662,-0.031,13.47,0.032,34.0,1.432,13.307,0.037,29.0,0.961,10.351,0.086,12.6,0.9496,8.023,,1.8,0.9645,2,1,0.0,0.0,0.0,0.0,113,40,67,43,0000,4,nnnn,AAAU,0022,37,37,37,37,13,16,0,16
1610,1611,0.233048,-134.353595,204.21020833,26.300555556,J133650.43+261801.8,204.2101567,26.3005103,0.0526,0.0533,-0.0083,13.982,0.026,42.0,1.277,13.674,0.033,33.3,1.032,11.139,0.144,7.5,0.9602,8.993,0.498,2.2,0.9876,1,0,0.0,0.0,0.0,0.0,54,103,13,108,0h00,0,00nn,AABC,0011,28,28,28,28,5,15,0,15
1611,1612,1.651698,-55.520613,204.213625,26.306166667,J133651.16+261823.1,204.2132031,26.3064264,0.076,0.0644,-0.0378,13.923,0.036,30.1,1.574,13.757,0.046,23.7,0.936,10.002,0.062,17.6,1.081,8.463,0.537,2.0,0.9537,2,1,0.0,0.0,0.0,0.0,780,105,-299,106,d000,4,nnnn,AAAC,0011,28,28,28,28,15,15,0,15
1612,1613,1.351909,-12.821571,204.32795833,3.9385833333,J133718.68+035620.2,204.3278748,3.9389495,0.0504,0.0704,-0.0205,13.021,0.034,32.3,2.369,13.031,0.037,29.5,1.099,12.411,,0.4,0.8948,8.478,,0.7,1.01,2,1,0.0,0.0,0.0,0.002,-10,36,73,41,0000,4,nnnn,AAUU,0000,34,34,34,34,0,22,0,22
1613,1614,0.181885,-38.512578,204.34683333,3.8974166667,J133723.23+035350.8,204.3468018,3.8974562,0.0385,0.0364,-0.0077,11.171,0.023,47.0,17.97,11.239,0.02,53.4,7.052,10.225,0.055,19.9,0.9921,8.007,0.171,6.3,1.075,1,0,0.0,0.0,0.0,0.0,69,30,86,30,0000,5,221n,AAAB,0000,33,33,33,33,21,21,2,21
1614,1615,0.894286,-0.204675,204.57195833,48.275638889,J133817.26+481633.1,204.571957,48.2758873,0.0285,0.0287,-0.0058,10.521,0.022,49.6,36.43,9.934,0.02,55.6,14.95,5.659,0.015,73.9,8.912,2.535,0.018,60.1,33.41,1,0,0.0,0.0,0.0,0.0,-33,30,-386,30,0000,5,1103,AAAA,0000,34,34,34,34,19,19,19,19
1615,1616,,,204.57404167,48.278083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,1618,0.231281,-27.126827,204.79904167,61.487722222,J133911.75+612916.0,204.7989803,61.4877794,0.0466,0.0465,-0.0058,13.529,0.024,45.6,5.452,13.553,0.028,38.4,1.224,12.269,,1.7,1.098,9.34,0.506,2.1,0.9982,1,0,0.0,0.0,0.0,0.0,50,69,24,70,0000,5,11nn,AAUC,0000,42,42,42,42,0,23,0,23
1618,1619,0.257449,31.171067,204.80545833,8.9046111111,J133913.31+085416.8,204.8054958,8.9046723,0.078,0.0827,-0.0031,15.062,0.033,33.2,1.11,14.906,0.065,16.7,0.8915,11.669,0.206,5.3,0.9474,8.611,,1.1,0.9379,1,0,0.0,0.0,0.0,0.0,48,141,215,152,0000,0,00nn,AABU,0000,35,35,25,35,1,22,0,22
1619,1620,0.292601,-18.987932,204.81654167,8.8861944444,J133915.96+085310.5,204.8165149,8.8862713,0.0373,0.0372,-0.0029,12.717,0.023,46.9,12.63,12.344,0.024,44.7,2.727,8.443,0.022,49.2,1.943,5.694,0.042,25.7,0.8769,1,0,0.0,0.0,0.0,0.0,0,35,0,99,0000,5,1111,AAAA,0000,33,33,33,33,21,21,21,21
1620,1621,1.10147,-145.273726,204.85825,14.829916667,J133925.93+144946.7,204.8580697,14.8296652,0.0637,0.0665,-0.0048,14.448,0.029,37.6,3.486,14.187,0.045,24.3,1.185,10.796,0.102,10.6,1.086,8.615,0.337,3.2,0.8759,1,0,0.0,0.0,0.0,0.0,22,151,275,157,0000,1,110n,AAAB,0000,28,28,28,28,8,16,0,16
1621,1622,0.12698,-113.99628,204.85970833,14.824694444,J133926.32+144928.8,204.859675,14.8246801,0.0597,0.0613,-0.0043,14.193,0.028,39.4,1.31,13.964,0.039,27.8,1.061,11.603,0.202,5.4,0.8221,8.346,,1.7,0.8656,1,0,0.0,0.0,0.0,0.0,-6,112,236,117,0000,0,00nn,AABU,0000,28,28,28,28,3,16,0,16
1622,1623,0.201182,-54.8445,204.947375,33.669972222,J133947.35+334012.0,204.9473201,33.6700044,0.0443,0.0436,-0.0066,12.994,0.025,42.9,20.0,12.874,0.026,41.4,4.079,9.615,0.038,28.5,2.204,7.536,0.123,8.9,1.008,1,0,0.0,0.0,0.0,0.0,0,53,0,55,0000,5,210n,AAAB,0000,38,38,38,38,17,17,6,17
1624,1625,0.041262,-6.459686,205.099625,7.2928611111,J134023.90+071734.3,205.0996237,7.2928725,0.0448,0.044,-0.0061,12.87,0.024,44.6,6.722,12.877,0.026,42.6,1.567,11.141,0.116,9.4,1.087,8.603,,1.5,0.8582,1,0,0.0,0.0,0.0,0.0,82,42,-8,42,0000,5,00nn,AABU,0000,37,37,37,37,7,21,0,21
1625,1626,0.135306,114.430019,205.1185,7.3064444444,J134028.44+071823.1,205.1185345,7.3064289,0.0561,0.0568,0.0039,14.061,0.026,41.1,2.253,14.015,0.037,29.0,0.9478,12.394,,0.7,0.9305,8.598,,1.1,0.9509,1,0,0.0,0.0,0.0,0.0,-69,69,45,74,0000,0,00nn,AAUU,0000,36,36,36,36,0,21,0,21
1626,1627,0.609694,143.401036,205.20829167,60.480916667,J134050.03+602850.8,205.2084966,60.4807807,0.0459,0.0465,-0.0089,13.27,0.025,44.1,17.33,13.277,0.027,40.4,3.866,13.045,0.542,2.0,0.9064,9.194,,0.3,1.027,2,0,0.0,0.001,0.0,0.0,-230,62,471,63,0000,1,44nn,AACU,0000,44,44,44,44,0,23,1,23
1628,1629,1.010243,33.935996,205.37670833,-0.42072222222,J134130.44-002513.7,205.376865,-0.4204894,0.0414,0.0526,0.0228,12.757,0.029,37.1,2.169,12.509,0.032,34.2,1.001,8.651,0.028,38.3,1.089,6.427,0.082,13.3,0.9265,2,1,0.0,0.0,0.0,0.0,13,31,-38,33,0000,4,nnnn,AAAA,1111,38,38,38,38,23,23,20,23
1630,1631,1.296338,159.876434,205.41858333,4.4696111111,J134140.48+042809.3,205.4187076,4.469273,0.0582,0.0644,-0.0315,13.665,0.031,34.9,1.715,13.386,0.037,29.4,1.04,9.915,0.06,18.2,0.9538,8.24,,1.3,0.9169,2,1,0.0,0.0,0.0,0.0,-284,64,356,60,0000,4,nnnn,AAAU,0000,34,34,34,34,22,22,0,23
1631,1632,0.181445,-79.649538,205.42495833,4.4819444444,J134141.97+042855.0,205.4249086,4.4819535,0.0603,0.0618,-0.0083,14.397,0.028,38.8,1.151,14.194,0.042,25.8,0.8366,10.376,0.074,14.6,0.921,7.538,0.105,10.3,1.019,1,0,0.0,0.0,0.0,0.001,60,101,-184,108,0000,0,000n,AAAA,0000,34,34,33,34,21,22,7,23
1632,1633,1.378415,65.224676,205.46245833,3.4074444444,J134151.07+032427.3,205.4628066,3.4076049,0.1323,0.1037,0.0343,14.872,0.047,23.2,1.714,14.645,0.069,15.8,0.9431,11.999,0.303,3.6,0.8969,8.773,,0.7,0.8326,2,1,0.0,0.0,0.0,0.0,,,,,d000,0,nnnn,AABU,0000,35,35,24,35,1,23,0,23
1635,1636,0.492444,-52.344496,205.74433333,22.159333333,J134258.61+220933.9,205.7442164,22.1594169,0.036,0.035,-0.0156,12.627,0.026,41.5,3.228,12.298,0.026,41.7,1.113,7.484,0.017,64.0,1.463,4.139,0.027,39.8,0.8871,2,1,0.0,0.0,0.0,0.0,173,30,-35,91,0000,5,nnnn,AAAA,0011,38,38,38,38,25,25,25,25
1636,1637,0.169517,118.067559,206.10216667,20.409555556,J134424.53+202434.3,206.102211,20.4095334,0.0371,0.0358,-0.0103,11.243,0.022,49.9,31.92,11.272,0.021,52.4,10.83,9.467,0.036,29.8,1.736,7.707,0.142,7.7,1.15,1,0,0.0,0.0,0.0,0.0,0,42,0,40,0000,5,101n,AAAB,0011,27,27,27,27,16,16,5,16
