index,cntr_01,dist_x,pang_x,ra_01,dec_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
439,440,1.149747,-22.014167,136.31716667,7.9228611111,J090516.09+075523.3,136.3170458,7.9231572,0.0625,0.0744,-0.0396,13.237,0.037,29.5,3.24,13.262,0.044,24.8,1.047,11.472,,1.8,0.8989,7.758,,1.7,1.035,2,1,0.0,0.0,0.0,0.0,232,66,-86,73,0000,5,nnnn,AAUU,0000,24,24,24,24,0,12,2,12
440,441,0.074729,111.740747,136.33683333,7.9111388889,J090520.84+075440.0,136.3368528,7.9111312,0.0485,0.0482,-0.0106,13.188,0.024,44.9,2.344,13.139,0.029,36.9,1.05,11.601,0.223,4.9,0.9004,8.539,,0.4,0.8622,1,0,0.0,0.0,0.0,0.0,9,80,26,85,0000,0,11nn,AABU,0000,23,23,23,23,0,11,0,11
441,442,0.023185,110.079853,136.34620833,28.250861111,J090523.09+281503.0,136.3462152,28.2508589,0.0404,0.0389,-0.0086,11.639,0.023,46.7,21.02,11.69,0.022,49.7,6.396,11.164,0.173,6.3,0.8034,8.925,,-0.6,0.8256,1,0,0.0,0.0,0.0,0.0,-105,49,34,49,0000,5,11nn,AABU,1111,23,23,23,23,2,12,0,12
442,443,1.738308,-25.677873,136.48604167,19.209222222,J090556.59+191234.7,136.4858201,19.2096574,0.0669,0.0843,-0.0373,13.87,0.038,28.9,1.579,13.838,0.051,21.2,0.9709,11.934,0.43,2.5,0.9294,8.218,,-0.1,0.9433,2,1,0.0,0.0,0.0,0.0,207,91,-161,105,0000,0,nnnn,AACU,0000,23,23,23,23,1,10,0,10
443,444,1.487794,133.23454,136.49054167,19.202388889,J090557.80+191207.5,136.4908605,19.2021058,0.0946,0.1248,-0.0413,13.351,0.075,14.5,2.392,13.217,0.078,14.0,1.087,11.254,,1.4,0.8746,7.985,,-1.3,1.082,3,1,0.0,0.0,0.0,0.003,-55,82,-28,86,0000,4,nnnn,AAUU,0000,23,23,23,23,0,10,0,11
444,445,0.356233,173.698232,136.81020833,52.062055556,J090714.45+520343.0,136.810226,52.0619572,0.0431,0.0541,0.012,13.024,0.026,41.4,2.078,12.687,0.028,38.8,1.084,9.559,0.045,24.4,0.9264,6.837,0.102,10.6,1.032,2,1,0.0,0.0,0.0,0.0,278,42,927,49,0000,4,nnnn,AAAA,0011,35,35,35,35,19,19,14,14
445,446,0.236202,-130.295775,136.810875,52.064083333,J090714.59+520350.5,136.8107936,52.0640409,0.0468,0.0592,0.016,13.353,0.028,38.2,2.078,12.941,0.031,35.0,1.084,10.007,0.062,17.5,0.9264,6.665,0.09,12.0,1.032,2,1,0.0,0.0,0.0,0.0,,,,,0000,2,nnnn,AAAA,0011,35,35,35,35,19,19,14,14
446,447,0.094959,-62.749556,136.94254167,52.778222222,J090746.20+524641.6,136.9425029,52.7782343,0.0461,0.0448,-0.0059,13.23,0.024,45.1,4.096,12.946,0.026,41.8,1.249,10.892,0.088,12.3,1.02,8.271,0.248,4.4,1.04,1,0,0.0,0.0,0.0,0.0,16,109,81,94,0000,5,110n,AAAB,0011,36,36,36,36,13,20,2,15
447,448,0.392586,-24.244521,136.95395833,52.780916667,J090748.93+524651.6,136.9538843,52.7810161,0.0502,0.0494,-0.0052,13.651,0.025,43.3,5.069,13.546,0.029,37.1,1.489,12.57,0.406,2.7,0.992,8.405,,1.9,0.8509,2,0,0.0,0.0,0.0,0.0,18,81,21,85,0000,1,00nn,AACU,0011,36,36,36,36,1,20,0,15
448,449,0.148473,-37.291328,137.06425,16.042138889,J090815.41+160231.8,137.064224,16.0421717,0.0429,0.0424,-0.0101,12.611,0.023,46.6,8.647,12.489,0.025,44.1,1.976,10.571,0.095,11.4,0.8659,8.074,0.229,4.7,1.176,1,0,0.0,0.0,0.0,0.0,45,66,69,67,0000,5,110n,AAAB,0000,26,26,26,26,12,15,2,15
449,450,0.991323,-158.43948,137.06725,16.055,J090816.11+160317.0,137.0671447,16.0547439,0.0592,0.1004,0.0363,13.55,0.045,24.2,1.639,13.432,0.049,22.1,0.9537,10.37,0.104,10.5,1.062,7.93,,0.7,0.9082,2,1,0.0,0.0,0.0,0.003,64,126,464,152,0000,4,nnnn,AAAU,0000,27,27,27,27,9,15,0,15
450,451,,,137.16095833,32.76925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,452,0.086655,119.294244,137.16158333,32.772277778,J090838.78+324620.1,137.1616083,32.772266,0.041,0.0406,-0.0043,13.119,0.025,43.6,1.206,12.126,0.023,46.8,0.8339,8.954,0.033,33.0,1.073,6.443,0.065,16.8,0.9618,1,0,0.0,0.0,0.0,0.0,85,55,70,58,0000,0,1100,AAAA,1111,24,24,24,24,12,12,12,12
452,453,0.164138,-133.123373,137.16841667,13.094916667,J090840.41+130541.5,137.1683825,13.0948855,0.0602,0.0616,-0.01,13.835,0.028,38.4,2.191,13.767,0.038,28.3,1.002,12.205,0.474,2.3,0.9905,8.795,,-0.8,0.8959,1,0,0.0,0.0,0.0,0.0,138,112,91,120,hhH0,0,00nn,AACU,0000,24,24,24,24,0,11,0,11
454,455,0.235881,108.467693,137.39666667,19.508555556,J090935.21+193030.7,137.3967326,19.5085348,0.0384,0.0374,-0.0068,11.978,0.022,49.0,14.93,11.923,0.022,49.2,3.825,9.164,0.036,29.8,0.9928,7.808,0.204,5.3,0.9345,1,0,0.0,0.0,0.0,0.0,-28,84,-1,80,0000,5,110n,AAAB,0000,23,23,23,23,11,11,0,11
455,456,0.137522,-109.612373,137.40604167,19.468972222,J090937.44+192808.2,137.4060035,19.4689594,0.034,0.0329,-0.0073,11.096,0.022,49.4,19.56,10.862,0.02,53.9,6.488,8.109,0.021,51.5,2.838,6.085,0.049,22.3,1.131,1,0,0.0,0.0,0.0,0.0,0,40,0,40,0000,5,1200,AAAA,0000,23,23,23,23,12,12,12,12
456,457,0.747181,52.659623,137.49195833,62.247361111,J090958.15+621450.9,137.4923127,62.247487,0.0308,0.0297,-0.0046,10.427,0.022,48.6,51.3,10.215,0.019,56.2,28.07,6.679,0.015,71.0,25.84,4.855,0.03,35.7,7.629,1,0,0.0,0.0,0.0,0.0,-488,31,-229,30,0000,5,1120,AAAA,0000,33,33,33,33,17,17,17,17
457,458,0.116931,-8.389422,137.52454167,62.216666667,J091005.88+621300.1,137.5245315,62.2166988,0.0394,0.0393,-0.0063,12.727,0.024,45.3,4.68,12.458,0.023,48.0,1.974,9.182,0.032,33.6,0.9212,7.229,0.095,11.4,0.8918,1,0,0.0,0.0,0.0,0.0,83,44,0,46,0000,1,1100,AAAA,0000,34,34,34,34,18,18,10,18
458,459,0.749837,34.758135,137.526625,51.911777778,J091006.43+515443.0,137.5268175,51.9119489,0.0402,0.0389,-0.0082,11.646,0.023,48.2,27.08,11.683,0.023,48.2,7.88,10.119,0.068,16.1,1.237,8.055,,2.0,0.9897,1,0,0.0,0.0,0.0,0.0,-64,54,-152,54,0000,5,110n,AAAU,0011,26,26,26,26,11,11,0,11
459,460,2.340875,-139.648631,137.5275,51.912444444,J091006.43+515443.0,137.5268175,51.9119489,0.0402,0.0389,-0.0082,11.646,0.023,48.2,27.08,11.683,0.023,48.2,7.88,10.119,0.068,16.1,1.237,8.055,,2.0,0.9897,1,0,0.0,0.0,0.0,0.0,-64,54,-152,54,0000,5,110n,AAAU,0011,26,26,26,26,11,11,0,11
460,461,0.184636,-72.200789,137.587125,17.130972222,J091020.89+170751.5,137.5870739,17.1309879,0.0474,0.0489,-0.0074,13.611,0.025,42.6,1.851,12.963,0.029,37.3,0.8737,9.457,0.046,23.4,1.044,6.729,0.086,12.7,0.8084,1,0,0.0,0.0,0.0,0.0,0,75,28,81,0000,0,1111,AAAA,0000,23,23,23,23,11,11,11,11
461,462,0.190531,-49.111295,137.59716667,17.124555556,J091023.30+170728.5,137.5971248,17.1245902,0.0594,0.0616,-0.0098,14.115,0.027,40.4,2.149,13.917,0.042,25.9,1.011,12.058,,1.1,1.059,8.627,,0.2,0.9768,1,0,0.0,0.0,0.0,0.0,60,127,57,141,0000,4,00nn,AAUU,0000,22,22,22,22,0,11,0,11
462,463,0.042134,-25.844025,137.6495,11.141166667,J091035.87+110828.2,137.6494948,11.1411772,0.0554,0.0574,-0.0101,13.964,0.027,40.9,1.724,13.78,0.036,30.2,0.9618,12.0,0.342,3.2,0.8727,8.554,,1.1,1.011,1,0,0.0,0.0,0.0,0.0,-262,115,88,126,0000,0,11nn,AABU,0000,24,24,24,24,0,13,0,13
463,464,0.216154,59.323453,137.65441667,11.145916667,J091037.07+110845.4,137.6544693,11.1459473,0.0869,0.0936,-0.009,15.073,0.036,30.3,1.348,14.811,0.072,15.2,1.005,11.482,0.203,5.4,1.033,8.89,,-0.1,0.8371,1,0,0.0,0.0,0.0,0.0,139,282,-91,301,0000,0,01nn,AABU,0000,24,24,18,24,3,13,0,13
464,465,0.563225,109.611321,137.72,41.672111111,J091052.84+414019.4,137.7201973,41.6720586,0.0514,0.0525,-0.0063,14.201,0.026,41.4,1.275,13.774,0.032,33.6,0.9252,10.282,0.068,16.1,0.9206,6.91,0.092,11.8,0.9826,1,0,0.0,0.0,0.0,0.0,123,81,-62,258,0000,0,1100,AAAA,0022,48,48,48,48,15,15,16,18
465,466,0.257616,-45.936671,137.72233333,41.665583333,J091053.34+413956.2,137.7222645,41.6656331,0.048,0.0483,-0.0061,13.76,0.026,42.5,2.601,13.411,0.029,37.4,1.028,10.121,0.052,20.8,1.008,8.068,0.212,5.1,0.9025,1,0,0.0,0.0,0.0,0.0,-30,64,106,313,0000,4,000n,AAAB,0022,49,49,49,49,16,16,0,19
466,467,0.084965,-169.272088,137.9215,3.1653888889,J091141.15+030955.3,137.9214956,3.1653657,0.0707,0.0732,-0.0106,14.564,0.031,34.7,1.309,14.301,0.047,23.0,0.8496,11.805,,1.6,1.016,8.603,,0.8,0.9897,1,0,0.0,0.0,0.0,0.0,99,182,96,195,0000,0,00nn,AAUU,0000,22,22,22,22,0,11,1,11
467,468,1.303857,-46.540911,137.924125,3.1750277778,J091141.72+031030.9,137.9238617,3.1752769,0.0574,0.0581,-0.008,14.0,0.027,40.7,2.493,13.673,0.039,28.2,1.069,11.142,0.144,7.6,1.084,8.513,0.34,3.2,0.985,1,0,0.0,0.0,0.0,0.0,141,135,485,142,0000,0,01nn,AABB,0000,22,22,22,22,2,11,0,11
469,470,1.620688,-63.617865,138.345125,22.865805556,J091322.72+225157.6,138.3446873,22.8660056,0.049,0.0496,-0.0091,13.275,0.026,42.2,19.3,13.175,0.03,36.4,3.845,9.899,0.052,20.9,1.944,7.883,0.237,4.6,0.9091,1,0,0.0,0.0,0.0,0.0,0,165,0,132,0000,5,000n,AAAB,0000,22,22,22,22,11,11,2,11
470,471,0.14589,136.371698,138.39175,30.039833333,J091334.02+300223.2,138.3917823,30.039804,0.0482,0.0484,-0.0112,13.108,0.024,44.9,7.616,13.165,0.029,37.2,1.532,11.097,0.144,7.6,0.9131,8.507,,0.7,1.054,1,0,0.0,0.0,0.0,0.0,71,82,407,85,0000,5,01nn,AABU,0000,23,23,23,23,3,11,0,11
471,472,0.250343,119.954615,138.41445833,29.992972222,J091339.48+295934.5,138.4145279,29.9929375,0.0381,0.036,-0.0084,10.343,0.023,47.1,42.74,10.398,0.02,54.8,23.52,9.711,0.051,21.3,1.3,8.302,0.362,3.0,0.993,1,0,0.0,0.0,0.0,0.0,33,43,-441,45,0000,5,200n,AAAC,0000,23,23,23,23,11,11,0,11
472,473,0.1436,143.503943,138.503375,41.749916667,J091400.81+414459.5,138.5034068,41.7498846,0.046,0.0455,-0.0071,13.368,0.024,46.1,5.894,13.152,0.027,40.1,1.328,12.125,0.353,3.1,1.288,8.609,,1.0,0.9571,1,0,0.0,0.0,0.0,0.0,107,66,26,72,0000,5,00nn,AABU,0022,34,34,34,34,0,11,0,14
473,474,0.211324,53.533872,138.50545833,41.739861111,J091401.32+414423.6,138.5055216,41.739896,0.0552,0.056,-0.0095,14.107,0.026,42.2,1.399,13.927,0.037,29.1,1.109,12.524,,-0.2,0.9029,8.636,,0.6,0.8047,1,0,0.0,0.0,0.0,0.0,47,101,159,110,0000,0,00nn,AAUU,0022,34,34,34,34,0,11,0,14
474,475,0.261887,168.165129,138.55470833,15.28325,J091413.13+151659.4,138.5547238,15.2831788,0.0617,0.0643,-0.0069,14.299,0.028,38.2,1.565,13.966,0.041,26.3,0.9385,10.886,0.128,8.5,1.051,8.761,0.461,2.4,0.9631,1,0,0.0,0.0,0.0,0.0,0,171,0,184,0000,0,111n,AABC,0000,22,22,22,22,7,11,1,11
475,476,0.137964,-98.755242,138.55754167,15.290333333,J091413.80+151725.1,138.5575024,15.2903275,0.0503,0.0508,-0.0063,13.637,0.026,42.2,2.56,13.264,0.031,35.5,1.434,9.832,0.056,19.5,0.9363,8.748,0.535,2.0,0.9859,1,0,0.0,0.0,0.0,0.0,80,171,-76,150,0000,0,110n,AAAC,0000,22,22,22,22,11,11,0,11
476,477,0.503556,-86.438554,138.64308333,30.140861111,J091434.30+300827.1,138.6429219,30.1408698,0.0323,0.0313,-0.0043,10.254,0.022,49.1,39.48,10.185,0.02,53.8,21.1,7.419,0.018,61.4,7.383,5.655,0.044,24.5,1.443,1,0,0.0,0.0,0.0,0.0,-640,55,-174,50,0000,5,1100,AAAA,0000,23,23,23,23,11,11,11,11
477,478,0.12952,159.756762,138.67575,30.176305556,J091442.18+301034.5,138.6757644,30.1762718,0.0431,0.0421,-0.0069,12.188,0.024,45.5,21.36,12.248,0.024,45.9,4.967,10.935,0.14,7.7,0.8647,8.924,,-0.6,0.9616,1,0,0.0,0.0,0.0,0.0,58,58,-125,60,0000,5,110n,AABU,0000,23,23,23,23,6,11,0,11
478,479,0.180315,-84.679494,138.682875,16.818055556,J091443.87+164905.0,138.6828229,16.8180602,0.0587,0.0617,-0.0079,14.196,0.028,38.5,1.146,13.873,0.038,28.2,0.9557,10.898,0.105,10.4,0.9429,8.974,0.479,2.3,0.9565,1,0,0.0,0.0,0.0,0.0,-48,150,159,157,0000,0,000n,AAAC,0000,27,27,27,27,8,15,0,15
479,480,0.091725,169.538568,138.68866667,16.829305556,J091445.28+164945.4,138.6886715,16.8292805,0.0501,0.05,-0.0099,13.493,0.025,44.0,2.433,13.392,0.032,34.0,1.042,10.89,0.127,8.6,0.9482,8.705,,0.7,0.887,1,0,0.0,0.0,0.0,0.0,152,97,119,100,0000,4,01nn,AABU,0000,27,27,27,27,4,15,0,15
480,481,0.371097,-54.624517,138.73504167,31.678722222,J091456.38+314043.6,138.7349429,31.6787819,0.0732,0.0764,0.0043,14.595,0.033,33.4,1.423,14.295,0.05,21.9,0.9929,11.315,0.209,5.2,1.1,7.959,,1.9,0.961,1,0,0.0,0.0,0.0,0.0,-103,206,226,220,0000,0,00nn,AABU,0000,22,22,22,22,2,11,1,11
481,482,0.108852,-4.196152,138.74025,31.685694444,J091457.65+314108.6,138.7402474,31.6857246,0.0567,0.0578,-0.0065,13.964,0.027,39.7,1.65,13.731,0.036,30.1,1.0,10.851,0.122,8.9,1.079,8.285,,0.7,0.7565,1,0,0.0,0.0,0.0,0.0,0,146,110,151,0000,0,111n,AABU,0000,22,22,22,22,7,11,0,11
482,483,0.227414,17.507371,138.84229167,38.943055556,J091522.15+385635.2,138.8423161,38.9431158,0.0351,0.0348,-0.0066,12.566,0.023,46.5,2.194,11.994,0.022,48.6,1.102,7.871,0.02,54.5,0.9078,5.481,0.036,29.9,0.8922,1,0,0.0,0.0,0.0,0.0,106,44,30,46,0000,0,0000,AAAA,0011,27,27,27,27,14,14,14,14
483,484,0.592725,34.212293,138.843375,38.928194444,J091522.43+385541.9,138.843494,38.9283306,0.0358,0.0352,-0.0042,12.36,0.024,46.0,10.62,12.125,0.023,47.4,2.736,7.964,0.02,55.6,2.211,5.813,0.045,24.0,0.9889,1,0,0.0,0.0,0.0,0.0,27,44,5,46,0000,5,1100,AAAA,0011,28,28,28,28,15,15,15,15
484,485,0.542285,47.529015,138.92925,30.153888889,J091543.05+300914.3,138.9293785,30.1539906,0.0576,0.0601,0.0056,14.265,0.029,37.0,1.437,13.79,0.037,29.4,0.9466,10.069,0.062,17.4,0.8267,6.749,0.07,15.5,1.354,1,0,0.0,0.0,0.0,0.0,169,227,142,233,0000,2,0000,AAAA,0000,25,25,25,25,14,14,13,14
485,486,0.114103,-46.071391,138.934125,30.156111111,J091544.18+300922.0,138.9340986,30.1561331,0.0482,0.0482,-0.008,13.409,0.026,42.5,3.133,13.166,0.029,37.0,1.054,10.251,0.073,14.9,0.8713,6.576,0.072,15.1,1.079,1,0,0.0,0.0,0.0,0.001,20,168,19,134,0000,5,1100,AAAA,0000,25,25,25,25,14,14,13,14
486,487,0.098378,-163.322682,138.97916667,10.132527778,J091554.99+100757.0,138.9791587,10.1325016,0.0381,0.0368,-0.0063,11.632,0.023,47.3,29.42,11.629,0.023,48.1,8.708,8.569,0.028,38.4,5.751,6.454,0.078,13.8,1.096,1,0,0.0,0.0,0.0,0.0,-66,45,50,45,0000,5,1000,AAAA,0000,23,23,23,23,11,11,10,11
487,488,0.033759,161.853112,138.98045833,10.102111111,J091555.31+100607.5,138.9804613,10.1021022,0.0725,0.0749,0.0105,14.624,0.031,35.1,2.017,14.654,0.058,18.6,1.036,11.851,0.259,4.2,0.9801,8.793,,-0.6,0.8694,1,0,0.0,0.0,0.0,0.0,0,196,0,210,hh00,0,11nn,AABU,0000,24,24,21,24,1,13,0,13
488,489,1.230094,87.795312,138.98920833,17.579555556,J091557.49+173446.4,138.9895665,17.5795687,0.084,0.0592,0.0236,13.634,0.04,27.3,2.327,13.525,0.048,22.7,0.9541,10.023,0.084,12.9,0.9719,8.006,0.395,2.7,1.092,2,1,0.0,0.0,0.0,0.0,-526,290,95,193,0000,4,nnnn,AAAC,0000,23,23,23,23,11,11,0,11
489,490,0.165433,-163.819955,139.00745833,17.589833333,J091601.78+173523.2,139.0074449,17.5897892,0.0378,0.0364,-0.008,10.987,0.023,47.5,41.35,11.016,0.021,52.6,16.85,9.126,0.041,26.6,3.079,7.155,0.129,8.4,1.153,1,0,0.0,0.0,0.0,0.0,-53,50,-63,52,0000,5,1111,AAAB,0000,22,22,22,22,10,10,5,10
490,491,0.112671,24.79979,139.157,30.905388889,J091637.68+305419.5,139.1570153,30.9054173,0.0409,0.0388,-0.007,11.682,0.024,46.1,9.741,11.737,0.022,49.7,2.785,10.938,0.131,8.3,0.8787,8.802,,0.5,0.943,1,0,0.0,0.0,0.0,0.0,-41,47,-37,48,0000,5,110n,AABU,0000,27,27,27,27,6,15,0,15
491,492,0.188356,101.316213,139.174375,30.915416667,J091641.86+305455.4,139.1744348,30.9154064,0.036,0.0345,-0.0067,10.347,0.022,48.8,33.61,10.379,0.02,54.8,17.59,9.107,0.034,31.8,2.399,7.703,0.174,6.2,0.9383,1,0,0.0,0.0,0.0,0.0,-74,41,-208,40,0000,5,311n,AAAB,0000,27,27,27,27,14,14,2,14
492,493,0.05131,-110.489067,139.18758333,27.364138889,J091645.01+272150.8,139.1875683,27.3641339,0.0534,0.0547,-0.0068,13.807,0.026,41.4,2.026,13.751,0.036,29.8,1.033,9.953,0.06,18.0,0.9138,7.074,0.095,11.5,0.9362,1,0,0.0,0.0,0.0,0.0,58,524,59,274,0000,0,1111,AAAA,0000,24,24,24,24,13,13,11,13
493,494,0.136179,12.714789,139.19266667,33.053,J091646.24+330310.9,139.1926766,33.0530369,0.0455,0.0469,-0.0077,12.909,0.025,43.7,7.048,12.877,0.027,40.4,1.877,11.557,0.218,5.0,0.7921,8.896,,-1.6,0.9525,1,0,0.0,0.0,0.0,0.0,55,67,156,73,0000,5,11nn,AABU,1111,24,24,24,24,1,11,0,11
494,495,0.099691,81.671563,139.19916667,49.780388889,J091647.81+494649.4,139.1992091,49.7803929,0.0373,0.0362,-0.0088,10.893,0.022,49.1,25.34,10.964,0.02,53.2,9.631,10.129,0.07,15.5,1.085,8.282,,1.4,0.9134,1,0,0.0,0.0,0.0,0.0,-191,39,-32,39,0000,5,220n,AAAU,0022,27,27,27,27,10,10,0,10
495,496,0.667721,-68.400355,139.20541667,27.355472222,J091649.25+272119.9,139.2052225,27.3555405,0.052,0.0468,-0.0212,12.806,0.027,40.8,3.992,12.75,0.029,37.1,1.289,9.638,0.049,22.0,0.9056,7.701,0.22,4.9,1.005,2,1,0.0,0.0,0.0,0.0,170,149,-22,93,0000,5,nnnn,AAAB,0000,24,24,24,24,13,13,2,13
496,497,0.117575,132.929554,139.20816667,33.062444444,J091649.96+330344.7,139.2081952,33.0624222,0.0481,0.0492,-0.0088,13.303,0.026,42.5,3.044,13.172,0.029,37.0,1.086,9.88,0.064,16.9,0.98,7.702,0.178,6.1,1.135,1,0,0.0,0.0,0.0,0.0,29,70,47,126,0000,1,110n,AAAB,1111,24,24,24,24,11,11,2,11
497,498,0.248586,-6.949179,139.21408333,49.761805556,J091651.37+494542.7,139.2140704,49.7618741,0.0528,0.0531,-0.0085,13.654,0.025,43.5,3.413,13.708,0.036,30.0,1.165,12.149,0.415,2.6,0.8556,8.53,,0.9,0.955,1,0,0.0,0.0,0.0,0.0,240,90,298,97,0000,1,00nn,AACU,0022,26,26,26,26,0,10,0,10
498,499,0.16893,12.6961,139.3885,47.956972222,J091733.24+475725.2,139.3885154,47.957018,0.0548,0.0535,-0.0071,14.137,0.025,42.9,1.218,13.945,0.036,30.4,0.988,11.349,0.19,5.7,0.9018,8.311,,1.6,0.9038,1,0,0.0,0.0,0.0,0.0,53,103,214,108,0000,0,00nn,AABU,0033,41,41,41,41,1,12,0,13
499,500,0.183453,9.379925,139.388625,47.949472222,J091733.27+475658.2,139.3886374,47.9495225,0.0525,0.0528,-0.0096,14.067,0.026,42.2,2.13,13.614,0.033,33.2,0.965,10.423,0.088,12.3,0.9291,8.426,0.302,3.6,1.077,1,0,0.0,0.0,0.0,0.0,103,121,163,121,0000,4,110n,AAAB,0033,40,40,40,40,12,12,1,13
500,501,0.243989,123.054292,139.647375,11.156916667,J091835.38+110924.7,139.6474329,11.1568797,0.0662,0.0683,-0.0148,14.206,0.03,36.1,1.73,13.958,0.042,25.8,0.8882,11.786,0.317,3.4,0.8623,8.324,,1.4,0.9564,2,0,0.0,0.0,0.0,0.0,231,141,-150,156,0000,0,00nn,AABU,0000,23,23,23,23,0,11,0,11
502,503,0.445992,-20.671058,139.663875,45.505638889,J091839.31+453020.7,139.6638126,45.5057548,0.0665,0.0638,0.039,14.212,0.036,30.4,1.151,13.491,0.039,27.5,1.06,9.413,0.043,25.4,1.013,7.115,0.142,7.6,0.9373,2,1,0.0,0.0,0.0,0.0,584,59,701,64,0000,4,nnnn,AAAB,0022,47,47,47,47,17,17,6,22
503,504,0.72667,38.466737,139.66520833,45.506555556,J091839.69+453024.1,139.6653875,45.5067136,0.0878,0.0886,0.0529,14.619,0.045,24.2,1.151,14.064,0.056,19.3,1.06,10.674,0.117,9.3,1.013,8.294,0.408,2.7,0.9373,2,1,0.0,0.0,0.0,0.0,,,,,0000,4,nnnn,AABC,0022,47,47,47,47,8,17,0,22
504,505,0.443464,63.481593,139.74133333,31.853,J091857.95+315110.9,139.7414631,31.853055,0.0454,0.0448,-0.0063,12.974,0.024,45.8,7.439,12.993,0.027,40.2,1.613,11.681,0.23,4.7,0.9145,8.691,,0.3,0.8177,2,0,0.0,0.0,0.0,0.0,14,68,137,70,0000,5,00nn,AABU,0000,26,26,26,26,0,14,0,14
505,506,0.107347,91.259726,139.7475,31.861305556,J091859.40+315140.6,139.7475351,31.8613049,0.0411,0.0396,-0.0069,12.099,0.024,46.2,16.14,12.091,0.023,48.2,3.759,10.89,0.12,9.0,0.9452,8.582,0.327,3.3,1.039,1,0,0.002,0.0,0.0,0.0,-66,52,121,52,0000,5,000n,AABB,0000,26,26,26,26,6,13,0,13
507,508,0.155492,63.359954,139.99154167,26.748583333,J091957.98+264454.9,139.9915849,26.7486027,0.0396,0.0385,-0.0093,11.523,0.023,48.0,20.05,11.612,0.022,49.4,6.167,10.581,0.102,10.7,0.9227,8.782,,0.1,0.9417,1,0,0.0,0.0,0.0,0.0,-220,48,-14,48,0000,5,000n,AAAU,0000,21,21,21,21,8,10,0,10
508,509,0.270091,80.021715,140.16941667,15.101,J092040.67+150603.6,140.1694932,15.101013,0.0405,0.0387,-0.008,11.881,0.022,49.7,18.57,11.978,0.023,47.3,5.235,10.658,0.112,9.7,0.9588,8.373,0.329,3.3,1.05,1,0,0.001,0.0,0.0,0.0,161,54,-37,54,0000,5,110n,AABB,0000,22,22,22,22,7,10,0,10
510,511,0.144771,-26.818137,140.32825,18.213611111,J092118.77+181249.1,140.3282309,18.213647,0.0423,0.0416,-0.0097,12.118,0.023,46.6,28.45,12.19,0.024,44.9,7.105,10.28,0.095,11.4,1.391,8.452,0.337,3.2,1.124,1,0,0.0,0.0,0.0,0.0,28,60,0,68,0000,5,000n,AAAB,0000,24,24,24,24,10,11,0,11
511,512,0.064673,-55.748268,140.34620833,18.223888889,J092123.08+181326.0,140.3461927,18.223899,0.0397,0.038,-0.0102,11.575,0.023,48.0,13.41,11.66,0.022,50.0,3.67,11.109,0.169,6.4,0.8739,8.181,,0.7,0.723,1,0,0.0,0.0,0.0,0.0,6,47,94,48,0000,5,22nn,AABU,0000,24,24,24,24,2,12,0,12
512,513,0.268444,45.55827,140.49916667,6.0148888889,J092159.81+060053.7,140.4992202,6.0149411,0.0442,0.0433,-0.0064,12.698,0.024,44.8,19.96,12.681,0.026,42.3,4.291,10.249,0.064,16.9,1.258,8.542,0.295,3.7,1.038,1,0,0.0,0.0,0.0,0.0,97,76,52,78,0000,5,000n,AAAB,0000,28,28,28,28,15,16,0,16
513,514,0.183673,-39.069718,140.51045833,5.9978888889,J092202.50+055952.5,140.510426,5.9979285,0.0429,0.0411,-0.0053,12.35,0.024,45.9,9.087,12.331,0.024,45.9,2.085,11.16,0.158,6.9,1.017,8.679,,0.5,0.835,1,0,0.0,0.0,0.0,0.0,-130,56,-143,57,0000,5,00nn,AABU,0000,25,25,25,25,4,13,0,13
514,515,1.712284,26.707813,140.52483333,21.186611111,J092206.01+211113.3,140.5250626,21.187036,0.0311,0.0313,-0.0047,12.452,0.023,46.9,4.486,11.442,0.022,49.9,1.383,6.806,0.015,70.9,1.563,3.567,0.021,51.1,1.109,1,0,0.0,0.0,0.0,0.0,76,41,-34,42,0000,5,0000,AAAA,0000,23,23,23,23,11,11,11,11
515,516,1.177161,155.409677,140.52491667,21.187333333,J092206.01+211113.3,140.5250626,21.187036,0.0311,0.0313,-0.0047,12.452,0.023,46.9,4.486,11.442,0.022,49.9,1.383,6.806,0.015,70.9,1.563,3.567,0.021,51.1,1.109,1,0,0.0,0.0,0.0,0.0,76,41,-34,42,0000,5,0000,AAAA,0000,23,23,23,23,11,11,11,11
517,518,0.430532,37.753786,140.88129167,24.445694444,J092331.52+242644.8,140.8813721,24.445789,0.0365,0.0364,-0.0069,11.373,0.023,47.1,30.74,11.32,0.021,51.1,10.81,8.786,0.028,39.5,2.685,6.886,0.085,12.7,1.061,1,0,0.0,0.0,0.0,0.0,44,128,70,111,0000,5,1100,AAAA,0000,23,23,23,23,11,11,11,11
